kernel size,threshold,num_curated_laser_point_colors,red_min,red_max,red_range,precision,recall,f1_score
1,20.206567938844316,1561,210,255,45,1.0,1.0,1.0
2,20.206567938844316,1561,210,255,45,1.0,1.0,1.0
3,20.206567938844316,1561,210,255,45,1.0,1.0,1.0
4,20.206567938844316,1561,210,255,45,1.0,0.9166666666666665,0.9500000000000001
5,20.206567938844316,1561,210,255,45,0.9166666666666666,0.6944444444444443,0.7583333333333334
10,20.206567938844316,1561,210,255,45,0.25,0.1111111111111111,0.15
20,20.206567938844316,1561,210,255,45,0.0,0.0,0.0
