kernel size,threshold,num_curated_laser_point_colors,red_min,red_max,red_range,precision,recall,f1_score
1,36.041594063623535,652,179,255,76,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,36.041594063623535,652,179,255,76,0.7619047619047619,0.7142857142857143,0.7333333333333333
3,36.041594063623535,652,179,255,76,0.7142857142857143,0.619047619047619,0.6571428571428571
4,36.041594063623535,652,179,255,76,0.5714285714285714,0.2857142857142857,0.35714285714285715
5,36.041594063623535,652,179,255,76,0.3333333333333333,0.19047619047619047,0.23333333333333334
10,36.041594063623535,652,179,255,76,0.0,0.0,0.0
20,36.041594063623535,652,179,255,76,0.0,0.0,0.0
