LP_color_radius,Background_color_radius,threshold,num_curated_laser_point_colors,red_min,red_max,red_range,precision,recall,f1_score
1,10,19.03398086977706,265,224,255,31,1.0,0.9166666666666666,0.9416666666666668
1,20,30.33780238060888,359,208,255,47,1.0,1.0,1.0
1,25,49.289798438345585,363,233,255,22,1.0,1.0,1.0
1,40,31.031184838268068,368,203,255,52,1.0,1.0,1.0
1,60,31.274822185889565,375,203,255,52,1.0,1.0,1.0
1,80,51.55774812850305,270,233,255,22,0.8888888888888888,0.8888888888888888,0.8888888888888888
1,100,54.77940284348914,302,233,255,22,0.8333333333333334,0.8333333333333334,0.8333333333333334
3,10,17.964436403488545,1357,221,255,34,1.0,0.861111111111111,0.9083333333333333
3,20,20.032490816914716,1544,210,255,45,1.0,1.0,1.0
3,25,20.206567938844316,1561,210,255,45,1.0,1.0,1.0
3,40,20.90848078553088,1616,210,255,45,1.0,1.0,1.0
3,60,32.89811098491972,2136,195,255,60,1.0,1.0,1.0
3,80,33.19753457534568,2181,195,255,60,1.0,1.0,1.0
3,100,33.32169717630817,2191,195,255,60,1.0,1.0,1.0
5,10,17.582205231932146,2685,216,255,39,1.0,0.861111111111111,0.9083333333333333
5,20,21.731282869427737,2655,195,255,60,0.9583333333333334,0.9444444444444443,0.9500000000000001
5,25,23.080772026271795,3891,202,255,53,1.0,1.0,1.0
5,40,23.41495097137972,3971,202,255,53,1.0,1.0,1.0
5,60,35.18944739392947,5535,179,255,76,1.0,1.0,1.0
5,80,24.13495094659641,4105,202,255,53,1.0,1.0,1.0
5,100,24.22154675974689,4115,202,255,53,1.0,1.0,1.0
10,20,22.638990924606606,5615,206,255,49,1.0,0.9722222222222222,0.9833333333333334
10,25,23.80280286530081,5643,188,255,67,0.9305555555555555,0.8888888888888888,0.9055555555555556
10,40,24.328503472678698,6004,186,255,69,0.9444444444444443,0.9444444444444443,0.9444444444444443
10,60,27.009598780609917,8236,193,255,62,1.0,1.0,1.0
10,80,27.414914189999976,8277,194,255,61,1.0,1.0,1.0
10,100,27.538732558329965,8323,194,255,61,1.0,1.0,1.0
15,20,26.420390198930402,7851,198,255,57,1.0,1.0,1.0
15,25,26.758534617734057,9291,152,255,103,0.861111111111111,0.8055555555555555,0.8194444444444443
15,40,26.95175724677289,8153,197,255,58,1.0,1.0,1.0
15,60,27.198166323828588,8298,198,255,57,1.0,1.0,1.0
15,80,27.428320344842,8435,196,255,59,1.0,1.0,1.0
15,100,27.69689247779449,8596,195,255,60,1.0,1.0,1.0
30,40,28.552704175907337,9145,194,255,61,1.0,1.0,1.0
30,60,35.998435249585825,14212,174,255,81,0.9722222222222222,0.9722222222222222,0.9722222222222222
30,80,36.07104817937433,14264,175,255,80,1.0,1.0,1.0
30,100,28.666639426871903,9223,194,255,61,1.0,1.0,1.0
50,60,36.82639420214614,15763,171,255,84,0.8055555555555555,0.8055555555555555,0.8055555555555555
50,80,36.820929489583534,15734,171,255,84,0.7499999999999999,0.7499999999999999,0.7499999999999999
50,100,36.82082373663122,15728,171,255,84,0.7777777777777777,0.7777777777777777,0.7777777777777777
