num_train_images,mean_precision,std_precision,mean_recall,std_recall,mean_f1_score,std_f1_score
1,0.14166666666666666,0.13333333333333333,0.07222222222222222,0.06938886664887108,0.09166666666666666,0.08612007121842542
2,0.3277777777777778,0.12807935425998335,0.2444444444444444,0.09844469525927417,0.27111111111111114,0.10509548862056382
3,0.39444444444444443,0.12222222222222222,0.3,0.13877773329774218,0.32944444444444443,0.1341479743132399
4,0.5472222222222223,0.12656428610993908,0.40555555555555556,0.10772621905369623,0.4505555555555555,0.11096379122471871
5,0.5666666666666667,0.16996731711975951,0.4833333333333334,0.17266966964355618,0.5083333333333333,0.16633299933166196
6,0.6222222222222222,0.12247448713915887,0.5111111111111111,0.1681416216713506,0.5438888888888889,0.1519868415357066
7,0.6944444444444444,0.07657804862272342,0.5944444444444444,0.08351831321318282,0.6277777777777778,0.06974379922877873
8,0.7722222222222223,0.10452715401237098,0.7277777777777779,0.0812707713240433,0.7405555555555556,0.08703979507056483
9,0.7611111111111112,0.10333930687632374,0.7166666666666667,0.0812707713240433,0.731111111111111,0.08655619740169951
10,0.861111111111111,0.07027283689263066,0.7833333333333333,0.08314794192830975,0.8044444444444444,0.07820517491007903
13,0.9111111111111111,0.06186404847588916,0.8777777777777777,0.041573970964154924,0.8877777777777778,0.041781323726584836
16,0.9222222222222222,0.027216552697590882,0.8722222222222221,0.06712803318663647,0.8888888888888887,0.05127991448539704
19,0.961111111111111,0.03767961101736261,0.9,0.045133546692421915,0.9194444444444445,0.04434015542052201
22,0.9444444444444443,0.03513641844631534,0.8722222222222221,0.06478835438716997,0.8944444444444445,0.052909193114707244
25,0.9166666666666666,0.046481112585226386,0.8833333333333332,0.05386310952684813,0.8933333333333333,0.05123776577852812
27,0.9666666666666666,0.04082482904638632,0.8944444444444445,0.047790695928014576,0.9166666666666666,0.039791121287711076
30,0.9666666666666666,0.04082482904638632,0.9111111111111111,0.03685138655950443,0.93,0.03009245014211301
